iban,foundation_date,bank_name,address,capitalization
HU69 0564 6212 0806 0988 2363 3641,3/17/1922,"Feest, Gutkowski and Gerhold",92 Homewood Way,$341.72M
AD83 6824 7403 FIYJ KUML 9LKN,12/20/1935,Reilly-Collins,928 Eagle Crest Lane,n/a
SE31 6702 5687 8100 1272 8414,5/24/1904,Robel and Sons,77 Ridgeview Point,n/a
HU80 8899 5951 9342 6724 2809 6630,12/20/1922,Schroeder and Sons,0 Oak Valley Trail,$21.26M
PK31 OFYZ EULZ SGQS WWTO L21Q,8/28/1906,Smith-Kovacek,7 Blue Bill Park Junction,$472.08M
FR16 3866 2534 03SZ FSAY A0ZZ 917,8/2/1939,"O'Connell, Renner and Ankunding",7531 Trailsway Place,$61.57M
RO06 LOON WN0N 8HQS TQKU BNDV,9/19/1946,"Ziemann, McDermott and Gleichner",61661 Dapin Street,$480.47M
FR28 7294 9758 40IR ACLM YFRG V50,7/18/2023,Smitham-Bashirian,6 Helena Street,$21.96M
PS98 AUHU 7WX6 VDOP BATS PUPS WJMA N,4/21/2017,Cole Group,75 Autumn Leaf Circle,$402.84M
SA72 573K J45Y YQDX YJ0P PIKC,2/26/1904,"Botsford, Satterfield and Larson",72485 Lillian Pass,n/a
MT08 BTPH 2009 35YV J8EJ 0UOZ IC76 8PJ,6/19/1919,"Bode, Prohaska and Stehr",2225 Hoffman Way,$14.79M
SI17 6265 0945 7468 117,1/15/2020,Kuhn and Sons,7278 Rigney Drive,n/a
PK50 BFZX VM0Q IAY6 EQMP XVI9,5/27/2000,"Kilback, Spinka and Hintz",04908 Rowland Center,$60.98M
FR44 2649 9268 92KY A2FK UDCZ 185,4/27/1964,Cassin-Greenfelder,4 Morrow Place,$117.99B
FR05 3091 2709 69PE AHJA D5AO G98,10/18/1943,Paucek Inc,88146 Springview Hill,$276.48M
LU65 431Y GXSC FOT5 IB7P,5/20/1909,Tremblay LLC,324 Northwestern Avenue,$391.38M
FO57 6882 0980 5395 08,10/12/1917,Wilderman-Mayer,6114 Northfield Junction,$2.4M
PK34 FYSZ J8EU KC88 LWV6 QFTA,11/14/1960,Kuhn LLC,77 Fair Oaks Street,$2.93B
FR46 2044 3989 66UN 1BPO TRBH I38,8/5/1902,Runolfsdottir and Sons,9051 Village Green Lane,$106.47M
GB13 PGXR 5526 4565 7866 15,1/8/1954,"Boehm, Satterfield and Kihn",65218 Monica Crossing,n/a
CH45 2189 8D5B DWWZ ULJR 0,4/19/1973,Hammes-Huel,98 Warrior Terrace,$535.95M
SK12 9879 7024 4209 9155 9105,2/21/1954,Nitzsche Inc,5 Clemons Way,$19.65M
BR16 2339 1736 2668 2080 5217 171I T,1/19/2005,Simonis Group,20432 Shopko Way,$4.5M
KZ63 483C EUJE ESLA CAWA,2/15/1938,Rohan and Sons,94759 Lake View Plaza,$1.06B
FR22 6536 1132 780G 7UVB OHRE F56,5/3/1914,Ullrich and Sons,6 Larry Trail,$12.16M
CH27 2025 0V9F 3VRE RVHZ D,4/15/2015,Lebsack LLC,5 Sloan Alley,$1.78B
AT09 3916 9180 8104 7607,4/5/1992,"Doyle, Wuckert and Collier",1744 Moland Court,$2.08B
LB90 2272 AI5Y JTHF 9JUC CARO 3EA6,4/28/1905,Sauer and Sons,6 Holmberg Street,$6.77B
KZ60 869O 0KZN 0TVJ RZ7M,4/26/1920,"Thiel, Herman and Harvey",1 Lien Place,$1.39B
MT65 RUVB 4324 3Z1X T1YA GWGY SAYG XZ9,9/9/1938,Volkman Inc,12 Pawling Street,$14.19B
GR12 2993 736M WXXB LNMT DXTM 7BK,10/5/2003,"Kshlerin, Rippin and Harris",6 Russell Avenue,n/a
FR74 3657 9339 17MO 1QHZ QB8F L44,10/24/1914,Larson-Kub,8 Atwood Center,$1.04B
PS85 VFQP JFZJ OJTZ RIXE EWW8 YP5Z 9,6/3/1906,Schmeler Group,8 Hallows Place,$51.13M
GI07 TCPF O1F5 EHFV DLPO KJR,8/6/1931,Wilderman-Ernser,5 Russell Way,$966.47M
MU65 WFCC 6419 9957 8450 6443 866L FG,2/20/1922,Purdy-Turner,82636 Novick Junction,$1B
BA92 4674 2616 6836 6512,4/22/1975,"Ratke, Champlin and Renner",265 Sugar Pass,$193.67M
RS56 5659 1839 7353 2211 01,12/13/2018,Parisian Inc,9 Pleasure Alley,$2.2B
GL33 1802 9811 8764 40,8/10/1929,"Wehner, Kihn and Huels",091 Dapin Alley,$42.78M
TR92 4055 4U07 THNN EWPX YUIV NH,3/9/2003,Bahringer-Bins,3836 Grasskamp Court,$2.24B
